,ID,Score,Program
283,KUCAT_2019_153,995,computational
284,KUCAT_2019_154,510,pharma
285,KUCAT_2019_155,528,civil
286,KUCAT_2019_156,540,pharma
287,KUCAT_2019_157,949,ce
288,KUCAT_2019_158,845,civil
289,KUCAT_2019_159,368,pharma
290,KUCAT_2019_160,1047,civil
291,KUCAT_2019_161,603,civil
292,KUCAT_2019_162,655,civil
293,KUCAT_2019_163,1012,civil
294,KUCAT_2019_164,787,ce
295,KUCAT_2019_165,856,cs
296,KUCAT_2019_166,1025,ce
297,KUCAT_2019_167,562,ce
298,KUCAT_2019_168,697,civil
299,KUCAT_2019_169,736,bio
300,KUCAT_2019_170,534,cs
301,KUCAT_2019_171,381,cs
302,KUCAT_2019_172,891,arch
303,KUCAT_2019_173,700,design
304,KUCAT_2019_174,902,ce
305,KUCAT_2019_175,711,ce
306,KUCAT_2019_132,508,pharma
307,KUCAT_2019_133,868,design
308,KUCAT_2019_134,272,civil
309,KUCAT_2019_135,1046,design
310,KUCAT_2019_136,0,arch
311,KUCAT_2019_137,788,arch
312,KUCAT_2019_138,1055,ce
313,KUCAT_2019_139,547,pharma
314,KUCAT_2019_140,761,ce
315,KUCAT_2019_141,613,pharma
316,KUCAT_2019_142,666,ce
317,KUCAT_2019_143,593,power
318,KUCAT_2019_144,618,civil
319,KUCAT_2019_145,764,arch
320,KUCAT_2019_146,843,pharma
321,KUCAT_2019_147,790,civil
322,KUCAT_2019_148,1075,arch
323,KUCAT_2019_149,813,civil
324,KUCAT_2019_150,1050,civil
325,KUCAT_2019_151,596,ce
326,KUCAT_2019_152,1045,ce
327,KUCAT_2019_153,995,computational
328,KUCAT_2019_154,510,pharma
329,KUCAT_2019_155,528,civil
330,KUCAT_2019_156,540,pharma
331,KUCAT_2019_157,949,ce
332,KUCAT_2019_158,845,civil
333,KUCAT_2019_159,368,pharma
334,KUCAT_2019_160,1047,civil
335,KUCAT_2019_161,603,civil
336,KUCAT_2019_162,655,civil
337,KUCAT_2019_163,1012,civil
338,KUCAT_2019_164,787,ce
339,KUCAT_2019_165,856,cs
340,KUCAT_2019_166,1025,ce
341,KUCAT_2019_167,562,ce
342,KUCAT_2019_168,697,civil
343,KUCAT_2019_169,736,bio
344,KUCAT_2019_170,534,cs
345,KUCAT_2019_171,381,cs
346,KUCAT_2019_172,891,arch
347,KUCAT_2019_173,700,design
348,KUCAT_2019_174,902,ce
349,KUCAT_2019_175,711,ce
350,KUCAT_2019_176,513,arch
351,KUCAT_2019_177,951,ce
352,KUCAT_2019_178,752,geo
353,KUCAT_2019_179,479,design
354,KUCAT_2019_180,475,pharma
355,KUCAT_2019_181,707,ce
356,KUCAT_2019_182,780,arch
357,KUCAT_2019_183,715,ce
358,KUCAT_2019_184,741,cs
359,KUCAT_2019_185,801,civil
360,KUCAT_2019_186,1064,ce
361,KUCAT_2019_187,864,hydro
362,KUCAT_2019_188,712,ce
363,KUCAT_2019_189,756,civil
364,KUCAT_2019_190,560,bio
365,KUCAT_2019_191,686,civil
366,KUCAT_2019_192,881,ce
367,KUCAT_2019_193,489,pharma
368,KUCAT_2019_194,671,civil
369,KUCAT_2019_195,945,cs
370,KUCAT_2019_196,774,ce
371,KUCAT_2019_197,851,arch
372,KUCAT_2019_198,462,energy
373,KUCAT_2019_199,675,pharma
374,KUCAT_2019_200,497,bio
375,KUCAT_2019_201,815,civil
376,KUCAT_2019_202,773,civil
377,KUCAT_2019_203,837,communication
