Year,ID,Exam Type,Score,Program
2019,KUCAT_2019_122,KUCAT-PCM,904,CE
2019,KUCAT_2019_123,KUCAT-PCM,758,Civil
2019,KUCAT_2019_124,KUCAT-PCM,821,CE
2019,KUCAT_2019_125,KUCAT-PCM,831,Auto
2019,KUCAT_2019_126,KUCAT-PCM,581,CE
2019,KUCAT_2019_127,KUCAT-PCB,659,Pharma
2019,KUCAT_2019_128,KUCAT-PCB,580,Pharma
2019,KUCAT_2019_129,KUCAT-PCM,1019,CE
2019,KUCAT_2019_130,KUCAT-PCM,391,Arch
2019,KUCAT_2019_131,KUCAT-PCM,641,Auto
2019,KUCAT_2019_88,KUCAT-PCM,1053,Communication
2019,KUCAT_2019_892(See endnotes),KUCAT-PCM,608,Civil
2019,KUCAT_2019_90,KUCAT-PCM,659,Arch
2019,KUCAT_2019_91,KUCAT-PCM,516,Civil
2019,KUCAT_2019_92,KUCAT-PCM,896,Power
2019,KUCAT_2019_93,KUCAT-PCM,743,CE
2019,KUCAT_2019_94,KUCAT-PCM,944,Civil
2019,KUCAT_2019_95,KUCAT-PCM,779,Civil
2019,KUCAT_2019_96,KUCAT-PCM,700,CE
2019,KUCAT_2019_97,KUCAT-PCM,1162,CE
2019,KUCAT_2019_98,KUCAT-PCM,578,Arch
2019,KUCAT_2019_99,KUCAT-PCM,528,Design
2019,KUCAT_2019_100,KUCAT-PCM,413,Geo
2019,KUCAT_2019_101,KUCAT-PCM,617,Civil
2019,KUCAT_2019_102,KUCAT-PCM,875,CE
2019,KUCAT_2019_103,KUCAT-PCM,556,CE
2019,KUCAT_2019_104,KUCAT-PCB,678,Envs
2019,KUCAT_2019_105,KUCAT-PCB,895,Pharma
2019,KUCAT_2019_106,KUCAT-PCM,772,Civil
2019,KUCAT_2019_107,KUCAT-PCM,932,Auto
2019,KUCAT_2019_108,KUCAT-PCM,949,Civil
2019,KUCAT_2019_109,KUCAT-PCM,787,CE
2019,KUCAT_2019_110,KUCAT-PCM,788,Civil
2019,KUCAT_2019_111,KUCAT-PCB,381,Pharma
2019,KUCAT_2019_112,KUCAT-PCB,576,Pharma
2019,KUCAT_2019_113,KUCAT-PCM,695,Civil
2019,KUCAT_2019_114,KUCAT-PCB,677,Pharma
2019,KUCAT_2019_115,KUCAT-PCM,1055,Civil
2019,KUCAT_2019_116,KUCAT-PCM,1247,Design
2019,KUCAT_2019_117,KUCAT-PCM,683,Arch
2019,KUCAT_2019_118,KUCAT-PCM,907,Design
2019,KUCAT_2019_119,KUCAT-PCM,913,Civil
2019,KUCAT_2019_120,KUCAT-PCB,804,Pharma
2019,KUCAT_2019_121,KUCAT-PCM,714,Civil
2019,KUCAT_2019_122,KUCAT-PCM,904,CE
2019,KUCAT_2019_123,KUCAT-PCM,758,Civil
2019,KUCAT_2019_124,KUCAT-PCM,821,CE
2019,KUCAT_2019_125,KUCAT-PCM,831,Auto
2019,KUCAT_2019_126,KUCAT-PCM,581,CE
2019,KUCAT_2019_127,KUCAT-PCB,659,Pharma
2019,KUCAT_2019_128,KUCAT-PCB,580,Pharma
2019,KUCAT_2019_129,KUCAT-PCM,1019,CE
2019,KUCAT_2019_130,KUCAT-PCM,391,Arch
2019,KUCAT_2019_131,KUCAT-PCM,641,Auto
2019,KUCAT_2019_132,KUCAT-PCB,508,Pharma
2019,KUCAT_2019_133,KUCAT-PCM,868,Design
2019,KUCAT_2019_134,KUCAT-PCM,272,Civil
2019,KUCAT_2019_135,KUCAT-PCM,1046,Design
2019,KUCAT_2019_136,KUCAT-PCM,0,Arch
2019,KUCAT_2019_137,KUCAT-PCM,788,Arch
2019,KUCAT_2019_138,KUCAT-PCM,1055,CE
2019,KUCAT_2019_139,KUCAT-PCB,547,Pharma
2019,KUCAT_2019_140,KUCAT-PCM,761,CE
2019,KUCAT_2019_141,KUCAT-PCB,613,Pharma
2019,KUCAT_2019_142,KUCAT-PCM,666,CE
2019,KUCAT_2019_143,KUCAT-PCM,593,Power
2019,KUCAT_2019_144,KUCAT-PCM,618,Civil
2019,KUCAT_2019_145,KUCAT-PCM,764,Arch
2019,KUCAT_2019_146,KUCAT-PCB,843,Pharma
2019,KUCAT_2019_147,KUCAT-PCM,790,Civil
2019,KUCAT_2019_148,KUCAT-PCM,1075,Arch
2019,KUCAT_2019_149,KUCAT-PCM,813,Civil
2019,KUCAT_2019_150,KUCAT-PCM,1050,Civil
2019,KUCAT_2019_151,KUCAT-PCM,596,CE
2019,KUCAT_2019_152,KUCAT-PCM,1045,CE
2019,KUCAT_2019_153,KUCAT-PCM,995,Computational
2019,KUCAT_2019_154,KUCAT-PCB,510,Pharma
2019,KUCAT_2019_155,KUCAT-PCM,528,Civil
2019,KUCAT_2019_156,KUCAT-PCB,540,Pharma
2019,KUCAT_2019_157,KUCAT-PCM,949,CE
2019,KUCAT_2019_158,KUCAT-PCM,845,Civil
2019,KUCAT_2019_159,KUCAT-PCB,368,Pharma
2019,KUCAT_2019_160,KUCAT-PCM,1047,Civil
2019,KUCAT_2019_161,KUCAT-PCM,603,Civil
2019,KUCAT_2019_162,KUCAT-PCM,655,Civil
2019,KUCAT_2019_163,KUCAT-PCM,1012,Civil
2019,KUCAT_2019_164,KUCAT-PCM,787,CE
2019,KUCAT_2019_165,KUCAT-PCM,856,CS
2019,KUCAT_2019_166,KUCAT-PCM,1025,CE
2019,KUCAT_2019_167,KUCAT-PCM,562,CE
2019,KUCAT_2019_168,KUCAT-PCM,697,Civil
2019,KUCAT_2019_169,KUCAT-PCB,736,Bio
2019,KUCAT_2019_170,KUCAT-PCM,534,CS
2019,KUCAT_2019_171,KUCAT-PCM,381,CS
2019,KUCAT_2019_172,KUCAT-PCM,891,Arch
2019,KUCAT_2019_173,KUCAT-PCM,700,Design
2019,KUCAT_2019_174,KUCAT-PCM,902,CE
2019,KUCAT_2019_175,KUCAT-PCM,711,CE
2019,KUCAT_2019_132,KUCAT-PCB,508,Pharma
2019,KUCAT_2019_133,KUCAT-PCM,868,Design
2019,KUCAT_2019_134,KUCAT-PCM,272,Civil
2019,KUCAT_2019_135,KUCAT-PCM,1046,Design
2019,KUCAT_2019_136,KUCAT-PCM,0,Arch
2019,KUCAT_2019_137,KUCAT-PCM,788,Arch
2019,KUCAT_2019_138,KUCAT-PCM,1055,CE
2019,KUCAT_2019_139,KUCAT-PCB,547,Pharma
2019,KUCAT_2019_140,KUCAT-PCM,761,CE
2019,KUCAT_2019_141,KUCAT-PCB,613,Pharma
